,Unnamed: 0.1,Unnamed: 0,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AWARD,SEASON
0,0,0,2062,A.J. Guyton,A.J.,1610612741,CHI,23.0,33,6,27,0.182,628.5383333333333,78,192,0.406,27,69,0.391,15,18,0.833,10,26,36,64,24,9,5,3,35,0,198,-145,355.2,0,0,353.0,36,47,45,61,26,27,27,35,11,11,6,37,41,4,40,39,41,14,33,32,31,17,31,9,27,56,29,11,2,28,0,2000-01
1,1,1,1950,Andy Panko,Andy,1610612737,ATL,23.0,1,1,0,1.0,0.5516666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,67,64,1,1,68,66,68,66,33,51,33,60,63,60,63,66,67,64,67,60,56,1,1,9,66,15,68,11,2,68,0,2000-01
2,2,2,1609,Art Long,Art,1610612758,SAC,28.0,9,8,1,0.889,18.69,0,4,0.0,0,0,0.0,0,2,0.0,2,6,8,1,2,0,3,1,5,0,0,-11,18.1,0,0,15.0,53,42,3,3,63,66,64,66,33,51,33,60,59,60,56,57,56,57,58,60,37,7,10,9,66,29,61,11,2,62,0,2000-01
3,3,3,2073,Brian Cardinal,Brian,1610612765,DET,24.0,15,5,10,0.333,124.26166666666668,10,31,0.323,0,5,0.0,11,18,0.611,8,15,23,3,9,7,2,3,27,0,31,-34,81.1,0,0,75.0,49,49,22,45,50,50,46,52,33,28,33,40,41,41,46,46,47,49,44,36,41,17,27,9,47,39,49,11,2,49,0,2000-01
4,4,4,2036,Chris Mihm,Chris,1610612739,CLE,21.0,59,19,40,0.322,1164.996666666667,173,391,0.442,0,1,0.0,100,126,0.794,106,174,280,16,80,20,53,49,156,0,446,-75,945.0,5,0,888.0,20,27,55,50,16,11,13,20,33,41,33,8,15,12,6,9,8,35,11,23,7,66,59,9,12,52,13,4,2,12,2,2000-01
5,5,5,2084,Chris Porter,Chris,1610612744,GSW,23.0,51,9,42,0.176,1145.0166666666669,173,445,0.389,0,5,0.0,94,141,0.667,89,100,189,61,59,45,6,36,111,0,440,-281,852.3,2,0,792.0,25,39,56,62,17,11,10,41,33,28,33,13,10,34,10,20,16,19,20,10,29,59,49,9,13,65,18,5,2,18,0,2000-01
6,6,6,2042,Courtney Alexander,Courtney,1610612764,WAS,24.0,65,29,36,0.446,1373.9116666666666,239,573,0.417,17,46,0.37,123,150,0.82,42,101,143,62,75,45,5,35,139,0,618,-288,957.6,0,0,940.0,17,13,49,37,9,7,6,31,14,14,9,4,7,5,19,19,20,17,13,10,31,58,54,9,8,66,12,11,2,10,2,2000-01
7,7,7,2053,Dalibor Bagaric,Dalibor,1610612741,CHI,20.0,35,9,26,0.257,259.945,17,65,0.262,0,1,0.0,13,28,0.464,22,34,56,10,21,9,16,10,44,0,47,-57,183.2,0,0,163.0,33,39,43,57,37,42,38,60,33,41,33,39,36,53,29,34,33,37,34,32,19,36,35,9,41,46,36,11,2,36,0,2000-01
8,8,8,2061,Dan Langhi,Dan,1610612745,HOU,23.0,33,17,16,0.515,240.6783333333333,37,99,0.374,0,1,0.0,16,29,0.552,13,28,41,4,8,7,1,12,16,0,90,-39,161.2,0,0,151.0,36,29,34,32,38,34,33,46,33,41,33,36,35,48,34,38,38,48,45,36,48,40,23,9,34,41,38,11,2,38,0,2000-01
9,9,9,2082,Dan McClintock,Dan,1610612743,DEN,24.0,6,3,3,0.5,58.46666666666667,9,18,0.5,0,0,0.0,0,5,0.0,10,7,17,1,3,0,2,3,11,0,18,-27,42.9,0,0,40.0,58,55,12,33,55,51,58,7,33,51,33,60,56,60,40,55,51,57,54,60,41,17,18,9,56,37,55,11,2,55,0,2000-01
